x_world,z_world
-0.611934,-0.209679
-0.607034,-0.213192
-0.602135,-0.216705
-0.597235,-0.220218
-0.592335,-0.223731
-0.587436,-0.227244
-0.582537,-0.230757
-0.577637,-0.234270
-0.572738,-0.237784
-0.567839,-0.241297
-0.562939,-0.244810
-0.558040,-0.248323
-0.553140,-0.251836
-0.548241,-0.255349
-0.543341,-0.258862
-0.538441,-0.262375
-0.533541,-0.265888
-0.528641,-0.269401
-0.523742,-0.272914
-0.518842,-0.276427
-0.513942,-0.279940
-0.509042,-0.283453
-0.504143,-0.286966
-0.499243,-0.290479
-0.494343,-0.293992
-0.489444,-0.297505
-0.484540,-0.301011
-0.479606,-0.304476
-0.474604,-0.307846
-0.469532,-0.311108
-0.464428,-0.314315
-0.459328,-0.317528
-0.454231,-0.320746
-0.449136,-0.323968
-0.444041,-0.327191
-0.438948,-0.330416
-0.433854,-0.333641
-0.428760,-0.336867
-0.423667,-0.340092
-0.418573,-0.343317
-0.413479,-0.346542
-0.408385,-0.349766
-0.403291,-0.352991
-0.398197,-0.356216
-0.393103,-0.359441
-0.388009,-0.362665
-0.382915,-0.365890
-0.377821,-0.369115
-0.372728,-0.372340
-0.367634,-0.375565
-0.362540,-0.378790
-0.357447,-0.382015
-0.352353,-0.385240
-0.347259,-0.388465
-0.342165,-0.391690
-0.337071,-0.394914
-0.331977,-0.398139
-0.326883,-0.401364
-0.321789,-0.404589
-0.316695,-0.407813
-0.311601,-0.411038
-0.306506,-0.414263
-0.301412,-0.417487
-0.296318,-0.420712
-0.291224,-0.423937
-0.286130,-0.427162
-0.280969,-0.430293
-0.275561,-0.433029
-0.269958,-0.435353
-0.267560,-0.436265
-0.264670,-0.437578
-0.259240,-0.440001
-0.253584,-0.442001
-0.247782,-0.443553
-0.244488,-0.444228
-0.241299,-0.444998
-0.235545,-0.446454
-0.229620,-0.447451
-0.224517,-0.447916
-0.220781,-0.448173
-0.216719,-0.448526
-0.210710,-0.448911
-0.204663,-0.448851
-0.200633,-0.448552
-0.196874,-0.448312
-0.191725,-0.448045
-0.185727,-0.447515
-0.179726,-0.446977
-0.173722,-0.446451
-0.167717,-0.445931
-0.161710,-0.445415
-0.155703,-0.444902
-0.149695,-0.444390
-0.143672,-0.443995
-0.137612,-0.444064
-0.131605,-0.444593
-0.127652,-0.445266
-0.125871,-0.445571
-0.120994,-0.445847
-0.115001,-0.446474
-0.109044,-0.447556
-0.103533,-0.449006
-0.100710,-0.449934
-0.097228,-0.450868
-0.091450,-0.452388
-0.085818,-0.454346
-0.081238,-0.456366
-0.078665,-0.457649
-0.074224,-0.459449
-0.068764,-0.461996
-0.063616,-0.464904
-0.060857,-0.466802
-0.057986,-0.468568
-0.058082,-0.468555
-0.059829,-0.466739
-0.059829,-0.466739
-0.059829,-0.466739
-0.059829,-0.466739
-0.059829,-0.466739
-0.059828,-0.466761
-0.059580,-0.467403
-0.059884,-0.466889
-0.060031,-0.466640
-0.060108,-0.466512
-0.060151,-0.466443
-0.058707,-0.469810
-0.058119,-0.472068
-0.057622,-0.473782
-0.056516,-0.477508
-0.055551,-0.482588
-0.055037,-0.486378
-0.054461,-0.489975
-0.053615,-0.495665
-0.053195,-0.501628
-0.053022,-0.507653
-0.052973,-0.513674
-0.052999,-0.519694
-0.053074,-0.525715
-0.053174,-0.531738
-0.053305,-0.537762
-0.053460,-0.543787
-0.053634,-0.549813
-0.053824,-0.555839
-0.054026,-0.561864
-0.054237,-0.567890
-0.054455,-0.573915
-0.054679,-0.579941
-0.054907,-0.585966
-0.055138,-0.591991
-0.055370,-0.598015
-0.055604,-0.604040
-0.055838,-0.610064
-0.056073,-0.616088
-0.056308,-0.622112
-0.056543,-0.628136
-0.056777,-0.634160
-0.057012,-0.640184
-0.057247,-0.646208
-0.057482,-0.652232
-0.057717,-0.658257
-0.057953,-0.664281
-0.058188,-0.670305
-0.058423,-0.676330
-0.058658,-0.682354
-0.058893,-0.688379
-0.059128,-0.694403
-0.059364,-0.700428
-0.059598,-0.706452
-0.059833,-0.712477
-0.060068,-0.718501
-0.060303,-0.724525
-0.060657,-0.730553
-0.061477,-0.736540
-0.062741,-0.742402
-0.063499,-0.744826
-0.064053,-0.747436
-0.065053,-0.753347
-0.066517,-0.759205
-0.068410,-0.764874
-0.069891,-0.768321
-0.071024,-0.771086
-0.072999,-0.776556
-0.075420,-0.781925
-0.077821,-0.786258
-0.079285,-0.788593
-0.081495,-0.792957
-0.084508,-0.798174
-0.087876,-0.803092
-0.089984,-0.805639
-0.091962,-0.808313
-0.095409,-0.813221
-0.099145,-0.817937
-0.102878,-0.822657
-0.106610,-0.827382
-0.110342,-0.832111
-0.114073,-0.836842
-0.117804,-0.841575
-0.121537,-0.846308
-0.125270,-0.851042
-0.129005,-0.855773
-0.132805,-0.860456
-0.136697,-0.864755
-0.140570,-0.868313
-0.143201,-0.870314
-0.144257,-0.871133
-0.144977,-0.871730
-0.149469,-0.875637
-0.153701,-0.879988
-0.157655,-0.884710
-0.160290,-0.888289
-0.161823,-0.890159
-0.164658,-0.893279
-0.168398,-0.897946
-0.171780,-0.902935
-0.174565,-0.907861
-0.175903,-0.910371
-0.177686,-0.913371
-0.180630,-0.918494
-0.183171,-0.923862
-0.184914,-0.928495
-0.185982,-0.931341
-0.187687,-0.935412
-0.189707,-0.941014
-0.191258,-0.946716
-0.192011,-0.950489
-0.192742,-0.953720
-0.194675,-0.961492
-0.194700,-0.961502
-0.196271,-0.963397
-0.196271,-0.962484
-0.196271,-0.962484
-0.196270,-0.962484
-0.196270,-0.962484
-0.196270,-0.962484
-0.195579,-0.961799
-0.195562,-0.961798
-0.195562,-0.961798
-0.195562,-0.961798
-0.195562,-0.961798
-0.195562,-0.961798
-0.195562,-0.961798
-0.195635,-0.961802
-0.195635,-0.961802
-0.195635,-0.961802
-0.195635,-0.961802
-0.195635,-0.961802
-0.195663,-0.961850
-0.195663,-0.961850
-0.195663,-0.961850
-0.195663,-0.961850
-0.195663,-0.961854
-0.195663,-0.961854
-0.195663,-0.961854
-0.195663,-0.961854
-0.195676,-0.961854
-0.195673,-0.961842
-0.195673,-0.961842
-0.195673,-0.961842
-0.195673,-0.961842
-0.195673,-0.961842
-0.195936,-0.961752
-0.197333,-0.961120
-0.198156,-0.960754
-0.200166,-0.959835
